1, 8850127044003,ไมโลแอดทิฟ-บี 35กรัม/ซอง,0,8,700,2,1
2, 8850157400916,เบนโตะ,50,50,99,2,1
3, 8851123212205,M SPORT/หีบ,0,210,94,2,1
4,0001111,อาหาร 301,0,675,93,2,1
5,0001112,อาหาร 302,0,465,99,2,1
6,0001113,อาหาร 303,0,425,88,2,1
7,0001114,อาหาร 304,0,365,100,2,1
8,0001115,อาหาร 301B,0,475,94,2,1
9,000300,ยางวง ห่อ20.-,20,20,99,2,1
10,0003001,พาราซิม 5ล./ลัง,0,1700,88,2,1
11,000302,น้ากระป๋อง-ถาด,260,0,91,2,1
12,0055120000698,ข้าวเกรียบ  P.R/หีบ,0,585,92,2,1
13,047400247307,ยิลเลตต์ โฟมมี่เมนทอล175กรัม/ขวด,0,135,90,2,1
14,08850002002531,โปรจัมพ์ เขียว,0,725,80,2,1
15,08850002016118,ปรับผ้านุ่มไฮคลาส สีชมพู650/หีบ,0,310,99,2,1
16,08850002016125,ปรับผ้านุ่มไฮคลาส สีส้ม650/หีบ,0,310,98,2,1
17,08850002016545,ไลปอน ชามะนาว 550 มล./หีบ,0,395,96,2,1
18,08850002016804,ปรับผ้านุ่มไฮคลาส สีฟ้า650/หีบ,0,310,98,2,1
19,08850002017467,ปรับผ้านุ่มไฮคลาส สีม่วง650/หีบ,0,310,98,2,1
20,08850002022225,108 shop 1kg,0,485,97,2,1
21,08850002022232,108Shop3500กรัม/ลัง,550,560,37,2,1
22,08850002022805,108 SHOP 350g/หีบ,0,510,10,2,1
23,08850002022935,เปา ไวท์ 90กรัม/หีบ,0,0,99,2,1
24,08850002022959,เปา คัลเลอร์ 90กรัม/หีบ,0,0,99,2,1
25,08850124083098,เนสกาแฟ3อิน1 ริชอโรมา/หีบ,2250,2250,95,2,1
26,08850124083128,เนสกาแฟ เอสเปรสโซ โรซสต์/หีบ,2250,2250,96,2,1
27,08850124092830,ซอสแม็กกี้/หีบ,0,410,97,2,1
28,08850127004588,ไมโล 3อิน1/หีบ,0,990,97,2,1
29,08850127007688,อิ่มดี5บ./,0,0,99,3,2
30,08850127009347,ไมโลแอคทิฟ-บี 35 กรัม/หีบ,0,0,99,2,1
31,08851123218108,.357เเอ็กซ์ตร้า/หีบ,0,425,98,2,1
32,08851123220057,M-150/หีบ,0,430,68,2,1
33,08851123227070,โอเล่คิวตี้รสน้ำส้ม/หีบ,0,0,99,2,1
34,08851123227100,โอเล่คิวตี้รสสตรอเบอร์รี่/หีบ,0,0,99,2,1
35,08851123227131,โอเล่คิวตี้รสองุ่น/หีบ,0,0,99,2,1
36,08851123233026,โสมอินซัมผสมโสมสกัดและน้ำผึ้ง/หีบ,0,425,998858954201215,2,1
37,08851123234054,เเซซซี่ กลิ่นกีวีแอปเปิ้ล/หีบ,0,0,7,2,1
38,08851123234085,เเซซซี่ กลิ่นมิกซ์เบอร์รี่/หีบ,0,0,7,2,1
39,08851123237024,วิตามินเลมอน/หีบ,0,0,7,2,1
40,08851123237055,วิตามินออเร้นจ์/หีบ,0,0,7,2,1
41,08851123480024,ลูกอมโอเล่ บิวตี้สตรอเบอร์รี่โซดา/หีบ,0,0,6,2,1
42,08851123481021,ลูกอมโอเล่ บิวตี้ไวลด์แอปเปิ้ลโซดา/หีบ,0,0,7,2,1
